Date,Open,High,Low,Close,Adj. Close,Change,Volume
"May 19, 2022",400,400,400,400,328.72,-,100
"Apr 25, 2022",400,400,400,400,328.72,-2.20%,900
"Apr 22, 2022",427,427,400,409,336.11,-4.22%,300
"Apr 20, 2022",427,427,427,427,350.91,0.59%,100
"Apr 14, 2022",424.5,424.5,424.5,424.5,348.85,-,200
"Mar 31, 2022",424.5,424.5,424.5,424.5,348.85,-0.12%,200
"Mar 29, 2022",425,425,425,425,349.26,2.41%,400
"Mar 23, 2022",415,415,415,415,341.04,-,300
"Feb 28, 2022",415,415,415,415,341.04,-,300
"Feb 22, 2022",415,415,415,415,341.04,5.73%,100
"Feb 18, 2022",415,415,390,392.5,322.55,-5.42%,"1,000"
"Feb 16, 2022",415,415,415,415,341.04,1.22%,100
"Feb 11, 2022",410,410,410,410,336.93,-1.91%,100
"Feb 9, 2022",418,418,418,418,343.51,-,100
"Feb 7, 2022",418,418,418,418,343.51,-,200
"Feb 1, 2022",418,418,418,418,343.51,-,200
"Jan 25, 2022",418,418,418,418,343.51,-0.24%,100
"Jan 20, 2022",419,419,419,419,344.33,8.83%,100
"Jan 18, 2022",385,385,385,385,316.39,-,400
"Jan 11, 2022",385,385,385,385,316.39,-8.33%,300
"Jan 5, 2022",420,420,420,420,345.15,9.09%,100
"Dec 15, 2021",385.5,385.5,385,385,316.39,-9.09%,"61,600"
"Nov 24, 2021",423.5,423.5,423.5,423.5,348.03,10.00%,200
"Nov 16, 2021",385,385,385,385,316.39,-7.23%,100
"Nov 11, 2021",415,415,415,415,341.04,7.79%,200
"Nov 10, 2021",385,385,385,385,316.39,-,100
"Nov 2, 2021",385,385,385,385,316.39,-7.23%,100
"Nov 1, 2021",415,415,415,415,341.04,7.79%,100
"Oct 27, 2021",385,385,385,385,316.39,0.13%,100
"Sep 30, 2021",385.25,385.25,383,384.5,315.98,-1.41%,300
"Sep 27, 2021",390,390,390,390,320.5,-,100
"Sep 24, 2021",390,390,390,390,320.5,1.23%,100
"Sep 8, 2021",385.25,385.25,385.25,385.25,316.6,0.59%,100
"Sep 6, 2021",383,383,383,383,314.75,-0.07%,100
"Sep 1, 2021",383.25,383.25,383.25,383.25,314.95,-6.52%,100
"Aug 31, 2021",410,410,410,410,336.93,-1.20%,100
"Aug 23, 2021",415,415,415,415,341.04,8.64%,100
"Aug 19, 2021",382,382,382,382,313.92,-7.95%,100
"Aug 17, 2021",415,415,415,415,341.04,-,100
"Aug 16, 2021",415,415,415,415,341.04,-,100
"Aug 10, 2021",415,415,415,415,341.04,-,100
"Jul 30, 2021",415,415,415,415,341.04,1.22%,100
"Jul 29, 2021",410,410,410,410,336.93,3.27%,100
"Jul 28, 2021",410,410,371,397,326.25,-3.17%,300
"Jul 27, 2021",410,410,410,410,336.93,9.99%,100
"Jul 15, 2021",372.75,372.75,372.75,372.75,306.32,-,100
"Jul 9, 2021",375.5,375.5,370,372.75,306.32,-7.96%,600
"Jul 1, 2021",405,405,405,405,332.83,-,200
"Jun 30, 2021",405,405,405,405,332.83,-,200
"Jun 28, 2021",405,405,405,405,332.83,-,100
"Jun 25, 2021",405,405,405,405,332.83,-,100
"Jun 22, 2021",405,405,405,405,332.83,6.58%,200
"Jun 17, 2021",380,380,380,380,312.28,-1.30%,"6,100"
"Jun 16, 2021",385,385,385,385,316.39,-4.94%,"1,000"
"Jun 14, 2021",405,405,405,405,332.83,6.58%,100
"Jun 2, 2021",380,380,380,380,312.28,5.56%,100
"May 6, 2021",360,360,360,360,281.05,-,"1,100"
"May 5, 2021",360,360,360,360,281.05,0.49%,100
"Apr 30, 2021",355,360,355,358.25,279.69,0.92%,300
"Apr 14, 2021",355,355,355,355,277.15,1.14%,100
"Apr 6, 2021",351,351,351,351,274.03,-1.13%,300
"Mar 29, 2021",355,355,355,355,277.15,-,100
"Mar 24, 2021",355,355,355,355,277.15,-1.93%,"1,000"
"Mar 23, 2021",362,362,362,362,282.61,0.56%,500
"Mar 18, 2021",360,360,360,360,281.05,-1.37%,100
"Mar 17, 2021",365,365,365,365,284.96,-,100
"Mar 12, 2021",365,365,365,365,284.96,-,100
"Mar 2, 2021",365,365,365,365,284.96,-1.62%,200
"Mar 1, 2021",371,371,371,371,289.64,0.27%,100
"Feb 24, 2021",370,370,370,370,288.86,-,"1,100"
"Feb 9, 2021",370,370,370,370,288.86,1.37%,100
"Feb 8, 2021",365,365,365,365,284.96,-1.35%,200
"Feb 3, 2021",370,370,370,370,288.86,1.37%,100
"Jan 25, 2021",365,365,365,365,284.96,-1.35%,100
